,group,name,member_attendance,member_repayment,business_type
60,30-352,Cory Stevenson,0.961,711.36,Retail buyer
61,05-048,Jared Carroll,0.822,2130.48,Teaching laboratory technician
62,94-588,Edward Klein,0.983,408.0,Human resources officer
63,05-048,Danielle Gonzalez,0.877,139.2,Dramatherapist
64,39-585,Vanessa Payne,0.962,1141.44,Mechanical engineer
65,74-520,Robert Hogan,0.995,1913.52,Podiatrist
66,92-237,Michaela Kennedy,0.914,1492.08,Personnel officer
67,29-070,Amber Walker,0.917,916.56,Printmaker
68,30-406,Amanda Mccullough,0.972,2014.56,Land
69,64-172,Tiffany Thomas,0.864,1170.0,Radio producer
70,41-194,Steven Hawkins,0.965,923.76,Media planner
71,58-451,Susan Warren,0.809,525.84,Patent attorney
72,54-940,Sherry Wood,0.853,2058.96,Archaeologist
73,51-604,Julie Flores,0.807,1713.12,"Loss adjuster, chartered"
74,64-841,Kristina Grimes,0.834,146.4,"Accountant, chartered"
75,21-688,Vincent Andrews,0.91,1098.0,Exhibition designer
76,81-117,Mark Miles,0.888,318.0,Water engineer
77,30-457,Elizabeth Hester,0.896,1798.8,Land/geomatics surveyor
78,57-731,Brian Carr,0.8,1944.48,Medical technical officer
79,50-436,Autumn Watson,0.883,713.28,Personnel officer
80,10-628,Charlene Wallace,0.807,47.76,"Engineer, building services"
81,30-457,Elizabeth Perez,0.911,172.32,"Engineer, communications"
82,09-876,Taylor Pitts,0.899,1256.16,"Programmer, systems"
83,61-119,Cheryl Robles,0.829,2080.56,Midwife
84,85-550,Sarah Rivera,0.816,659.28,"Radiographer, therapeutic"
85,20-169,Cindy Carrillo,0.939,1940.88,"Administrator, local government"
86,75-365,Amber Bruce,0.835,1424.16,Archaeologist
87,04-033,Rachel Avila,0.896,29.28,Financial adviser
88,91-588,Marvin Price,0.994,687.12,Personal assistant
89,06-837,Kathleen Meyer,0.902,2267.76,"Journalist, newspaper"
90,93-574,Jennifer Wilson,0.979,1880.88,Medical secretary
91,76-192,Carol Lane,0.844,1732.56,"Civil engineer, contracting"
92,81-749,Maureen Nelson,0.967,892.32,Drilling engineer
93,91-655,Ann Bush,0.975,1153.68,"Nurse, children's"
94,59-326,Maria Garner,0.926,1705.68,Private music teacher
95,85-921,Amanda Taylor,0.92,645.36,"Lecturer, higher education"
96,54-084,Brandy Vasquez,0.995,1040.16,Barrister's clerk
97,80-821,Tracy Jones,0.875,2154.72,Building control surveyor
98,59-370,Lindsey Jones,0.947,2221.2,Legal executive
99,15-111,Jessica Espinoza,0.965,929.76,Data processing manager
100,83-489,Stephanie Michael,0.85,1427.28,Proofreader
101,94-842,Tina Sanchez,0.894,378.24,Artist
102,91-655,Brandi Smith,0.988,2100.72,Retail merchandiser
103,26-581,Brad Crosby,0.947,1831.92,Energy engineer
104,03-454,Melissa Hall,0.984,117.84,Public house manager
105,75-365,Crystal Sullivan,0.856,274.56,"Optician, dispensing"
106,70-235,Heather Torres,0.929,1542.72,Visual merchandiser
107,70-235,Mallory Garcia,0.933,1487.76,Clinical embryologist
108,07-962,Sara Long,0.925,1051.44,Senior tax professional/tax inspector
109,67-590,Michael Walker,0.877,1543.92,Personal assistant
110,18-557,Heather Johnson,0.974,153.36,Financial adviser
111,22-595,Timothy Mcmahon,0.894,2065.92,Medical technical officer
112,79-599,Olivia Lopez,0.912,341.04,Museum/gallery exhibitions officer
113,59-370,Jill Mullins,0.923,2045.76,TEFL teacher
114,67-590,Katherine Hamilton,0.835,1779.6,Public librarian
115,54-084,Jessica Hudson,0.995,1662.24,Medical technical officer
116,80-426,Nicholas Farrell,0.977,1590.72,Chartered public finance accountant
117,24-581,Nicole Smith,0.893,1978.08,Seismic interpreter
118,98-730,Gregory Ware,0.801,1580.16,"Conservator, furniture"
119,44-702,Veronica Chaney,0.844,1020.48,Musician
120,81-749,Beth Flores,0.983,2079.6,Local government officer
121,42-289,Heather Jones,0.893,1279.68,Data processing manager
122,06-642,Elizabeth Buchanan,0.831,1781.76,Claims inspector/assessor
123,70-990,Karen Smith,0.927,2387.76,Health promotion specialist
124,22-595,Jennifer Rodriguez,0.949,1281.12,Financial trader
125,42-415,Ronald Merritt,0.937,956.88,"Lighting technician, broadcasting/film/video"
126,43-604,Laura Roberts,0.809,1135.92,"Therapist, drama"
127,81-117,Amy Rodriguez,0.848,214.08,"Administrator, Civil Service"
128,77-153,Emily Smith,0.819,472.08,"Lecturer, higher education"
129,75-843,Charles Olsen,0.849,1418.64,Building services engineer
130,94-588,Tyler Ochoa,0.874,1243.44,"Surveyor, commercial/residential"
131,13-537,Laura Clay,0.852,1523.28,"Lecturer, further education"
132,21-642,Veronica Carter,0.935,867.84,"Scientist, research (life sciences)"
133,05-272,Susan Young,0.86,2236.32,Health promotion specialist
134,33-693,Jody Gonzalez,0.992,2145.12,Hydrographic surveyor
135,30-371,Lisa Walker,0.892,65.04,Ceramics designer
136,62-983,John Gates,0.883,1474.56,"Editor, film/video"
137,95-718,Jamie Brooks,0.861,2181.6,"Psychotherapist, child"
138,07-414,Aaron Walter,0.913,1684.32,Leisure centre manager
139,06-920,Cindy Wheeler,0.887,57.84,"Designer, television/film set"
140,34-818,Anna Reed,0.928,206.88,Personal assistant
141,53-004,Erika Hatfield,0.887,2210.16,Exercise physiologist
142,28-902,Samantha Nelson,0.846,604.08,"Engineer, maintenance (IT)"
143,62-636,Michelle Norman,0.95,2231.52,Podiatrist
144,30-371,Nicole Alvarado,0.928,1324.32,Outdoor activities/education manager
145,49-035,Lisa Smith,0.802,845.76,Barista
146,10-334,Wendy Robinson,0.946,840.0,Health physicist
147,05-272,Wendy Chaney,0.861,1429.44,Product designer
148,40-727,Kimberly Peterson,0.879,878.4,Multimedia programmer
149,59-100,Jason Gray,0.911,2092.56,"Pharmacist, hospital"
150,96-227,Janet Brown,0.999,2275.2,"Embryologist, clinical"
151,80-804,Deanna Scott,0.809,601.92,"Therapist, art"
152,50-091,Alison Reyes,0.912,1300.8,"Engineer, automotive"
153,40-453,Rachel Melendez,0.965,1525.68,Geochemist
154,91-933,Julian Zamora,0.826,1967.28,Chief Financial Officer
155,59-467,Renee Pineda,0.965,1421.28,Diagnostic radiographer
156,59-130,Trevor Daniels,0.888,9.84,Broadcast presenter
157,54-084,Nicole Jackson,0.987,2172.0,"Journalist, broadcasting"
158,95-590,Brandon Nichols,0.897,1497.12,Advertising art director
159,34-169,Victoria Ford,0.951,1632.24,Automotive engineer
160,30-944,Christina Huff,0.958,1576.08,"Nurse, mental health"
161,24-034,Paul Wilson,0.899,862.8,Mining engineer
162,22-595,Destiny Jones,0.887,552.72,Theatre manager
163,66-695,John Roberts,0.922,1980.24,"Administrator, local government"
164,33-004,Christopher Franklin,0.938,1266.24,"Embryologist, clinical"
165,33-157,Larry Morales,0.878,1101.12,"Psychologist, sport and exercise"
166,67-590,Cheryl Johnson,0.841,1138.08,Academic librarian
167,60-265,Lisa Rodgers,0.88,863.52,Hotel manager
168,03-512,Frederick Huff,0.932,1023.12,"Engineer, energy"
169,80-167,Amy Miller,0.973,1450.32,Ambulance person
170,80-426,Crystal Dean,0.858,1686.72,"Teacher, adult education"
171,51-604,Katherine Livingston,0.832,954.96,Barista
172,95-590,Nicole Mack,0.925,1660.32,Management consultant
173,30-490,Larry Elliott,0.803,351.12,"Solicitor, Scotland"
174,80-167,Tiffany Smith,0.938,2175.12,Charity officer
175,84-495,Laurie Chavez,0.961,2393.52,Mental health nurse
176,58-240,Kimberly Mcgrath,0.968,2226.96,Medical physicist
177,31-861,Jacqueline Lopez,0.911,1497.36,Quarry manager
178,33-157,Crystal Valenzuela,0.897,470.88,Merchant navy officer
179,72-800,Kimberly Pierce,0.836,1887.12,Exhibition designer
180,44-274,Joyce Grant,0.895,1058.16,Hotel manager
181,67-606,Brittany Hughes,0.8,689.28,"Scientist, marine"
182,54-235,Nicole Hudson,0.832,574.32,Geographical information systems officer
183,53-004,Miranda Colon,0.882,2046.96,Estate agent
184,42-774,Stephen Tate,0.82,1827.6,"Surveyor, rural practice"
185,67-357,Hunter Mendoza,0.802,2293.44,Chartered public finance accountant
186,38-215,Tonya Willis,0.873,1242.96,Energy manager
187,44-831,Katelyn Gilbert,0.844,227.52,"Geneticist, molecular"
188,57-012,Hannah Mckenzie,0.867,1112.88,Administrator
189,74-142,Brittany Thompson,0.896,1194.96,Conference centre manager
190,73-770,Allison Vega,0.983,1671.84,Licensed conveyancer
191,34-818,Crystal Holmes,0.818,1747.44,Insurance underwriter
192,91-933,Ashley Craig,0.846,1190.16,Soil scientist
193,61-387,Jessica Miller,0.81,1642.8,Contracting civil engineer
194,50-038,Crystal Sanford,0.992,2151.36,Equality and diversity officer
195,29-070,Thomas Thompson,0.878,1601.52,"Therapist, art"
196,47-469,Samantha Williams,0.861,2231.28,Animal nutritionist
197,57-753,Laurie Johnson,0.917,2393.04,"Designer, industrial/product"
198,59-609,Emily Kelly,0.922,451.68,Exhibition designer
199,13-025,Ana Kim,0.897,579.6,Health visitor
200,78-777,Douglas Diaz,0.949,1358.88,Mudlogger
201,40-846,Catherine Terry,0.969,1676.64,Interior and spatial designer
202,57-731,Denise Watts,0.959,1572.0,Outdoor activities/education manager
203,19-490,Katie Burnett,0.826,2377.92,Materials engineer
204,59-400,Karen Mitchell,0.811,930.96,Medical laboratory scientific officer
205,42-386,Doris Hunt,0.989,2351.28,Web designer
206,24-244,Justin Fuentes,0.874,2346.72,"Chemist, analytical"
207,22-318,Jeffrey Pruitt,0.896,690.72,Plant breeder/geneticist
208,31-950,Kirsten Hancock,0.904,2254.56,IT technical support officer
209,06-008,Russell Sanchez,0.803,949.44,Advice worker
210,73-770,Laura Smith,0.846,96.72,Sports therapist
211,45-243,Nicolas Savage,0.919,996.72,Advice worker
212,85-550,Christine White,0.847,309.84,Armed forces logistics/support/administrative officer
213,57-012,Donna Mahoney,0.921,1844.88,Museum/gallery exhibitions officer
214,54-084,Wendy Jones,0.994,409.92,Rural practice surveyor
215,04-033,Richard Berry,0.984,1154.16,"Scientist, physiological"
216,93-347,Kristi Young,0.892,1575.12,Technical sales engineer
217,34-169,Russell Chung,0.842,1176.0,Public relations account executive
218,67-140,Manuel Klein,0.829,287.28,Chief Strategy Officer
219,49-675,Timothy Watts,0.931,744.72,Dealer
220,63-515,Jeffrey Livingston,0.969,573.36,"Buyer, retail"
221,99-440,Cynthia Hubbard,0.832,201.12,Food technologist
222,98-258,Janet Brown,0.867,297.6,"Accountant, chartered certified"
223,81-117,Debbie Barnes,0.924,475.44,"Nurse, mental health"
224,06-191,Jessica Smith,0.972,1343.52,Naval architect
225,23-267,Karen Wiggins,0.92,1645.44,"Psychologist, forensic"
226,59-130,Sarah Holt,0.814,1596.96,"Accountant, chartered public finance"
227,05-313,Catherine Johnson,0.894,107.76,Economist
228,26-283,Jennifer Kelley,0.915,1616.16,"Scientist, forensic"
229,07-414,Laura Cortez,0.993,1412.16,"Scientist, research (medical)"
230,20-388,Jessica Waller,0.924,1026.0,Armed forces logistics/support/administrative officer
231,79-050,Michelle Brooks,0.993,1844.64,Multimedia specialist
232,42-289,Scott Velez,0.901,1389.12,Statistician
233,01-167,John Pratt,0.889,804.24,Chiropractor
234,33-902,Alexandria Rogers,0.988,875.52,Professor Emeritus
235,69-199,Theresa Warren,0.862,1152.24,"Designer, exhibition/display"
236,06-920,Mary Morrow,0.967,522.48,Hydrographic surveyor
237,96-227,Robin Lowe,0.963,1678.8,"Surveyor, building"
238,93-574,Logan Peterson,0.859,583.92,"Development worker, international aid"
239,61-405,Wendy Walters,0.836,725.04,"Conservator, furniture"
240,44-510,Jennifer Rodriguez,0.99,1678.56,Magazine features editor
241,03-846,Steven West,0.888,771.12,Applications developer
242,51-893,Bonnie Brady,0.956,1470.24,"Scientist, product/process development"
243,97-228,Amy Dorsey,0.884,1180.8,Manufacturing engineer
244,78-777,Haley Gomez,0.97,1614.72,Museum/gallery curator
245,38-067,Melissa Bradford,0.846,1360.32,Gaffer
246,42-774,Micheal Craig,0.822,1749.84,Sports coach
247,74-291,Mary Bennett,0.8,1596.72,Prison officer
248,38-215,Bradley Reeves,0.937,1673.76,Theatre director
249,24-581,Kari Bennett,0.875,1396.08,Industrial buyer
250,66-833,Craig Rodriguez,0.932,2221.44,Astronomer
251,07-962,Sandra Hart,0.914,2382.72,Best boy
252,63-515,Abigail Hill,0.866,647.52,"Pharmacist, hospital"
253,75-268,Kimberly Duran,0.82,148.56,Amenity horticulturist
254,82-819,Robin Wang,0.976,1473.36,Consulting civil engineer
255,29-070,William Daniels,0.907,1490.4,Careers information officer
256,10-628,Michael Jones,0.963,498.72,Health physicist
257,59-326,Hannah Hansen,0.839,882.24,Glass blower/designer
258,05-123,Sean Gay,0.859,2336.88,"Engineer, technical sales"
259,83-303,Bonnie Garza,0.95,721.44,Tourism officer
260,73-973,Natalie Brown,0.912,135.36,Tree surgeon
261,91-933,Jeanne Blair,0.983,47.52,Herpetologist
262,73-429,Brenda Brown,0.869,212.88,Applications developer
263,98-284,Amber Thompson,0.993,1180.8,Health and safety adviser
264,59-056,Brittany Ward,0.885,1536.96,Manufacturing engineer
265,53-004,Anthony Mckay,0.909,659.28,"Education officer, community"
266,07-414,Danielle Morris,0.971,471.84,Trading standards officer
267,95-718,Holly Gonzales,0.908,2117.76,"Radiographer, therapeutic"
268,29-942,Chloe Murphy,0.992,1634.64,"Geologist, engineering"
269,42-289,Michele Brown,0.867,1269.84,Diagnostic radiographer
270,40-969,Dawn Hamilton,0.996,2240.4,Community arts worker
271,78-149,Jennifer Davis,0.905,1219.44,Jewellery designer
272,54-940,Kimberly Jones,0.815,1771.68,Community education officer
273,60-598,Emily Collins,0.816,1589.28,Horticultural therapist
274,01-167,Martha Carson,0.923,58.8,Dealer
275,85-613,Susan Rodriguez,0.923,254.4,Economist
276,59-400,Bruce Fletcher,0.857,1967.76,Nutritional therapist
277,51-604,Wendy Hunt,0.826,229.92,Community development worker
278,31-096,Ashley Miller,0.845,1410.96,"Engineer, site"
279,48-511,Sarah Jacobs,0.828,1831.68,Games developer
280,06-920,Christina Duncan,0.953,763.2,"Scientist, physiological"
281,21-688,Jennifer Gentry,0.956,1734.72,"Surveyor, planning and development"
282,69-609,Lisa Martinez,0.97,412.08,Systems developer
283,77-153,Teresa Gonzalez,0.994,1483.44,Hospital pharmacist
284,05-272,Olivia Crane,0.844,1802.64,Hydrologist
285,03-846,Kristy Gilmore,0.852,436.8,Chief of Staff
286,88-780,Joy Castillo,0.842,293.76,"Horticulturist, commercial"
287,47-389,Lisa Benjamin,0.978,1756.8,Speech and language therapist
288,15-106,Kathleen Mccall,0.963,1118.4,Theatre manager
289,16-030,Brittany Kelley,0.994,2275.44,Garment/textile technologist
290,54-940,Mary Hernandez,0.854,865.44,Teaching laboratory technician
291,52-637,Crystal Turner,0.863,206.64,Fisheries officer
292,03-846,Christopher Brown,0.826,790.32,Geochemist
293,32-445,Toni Bradshaw,0.854,841.68,Hotel manager
294,59-130,Shane Jennings,0.954,970.08,Clinical psychologist
295,62-983,Amanda Carter,0.971,1695.84,Arboriculturist
296,74-291,Luis Sanders,0.913,1290.72,"Conservator, furniture"
297,71-497,Philip Kelley,0.953,352.8,Technical brewer
298,20-388,Linda Johnson,0.846,1471.68,Volunteer coordinator
299,80-821,Jessica Sanders,0.873,1637.52,"Nurse, adult"
300,59-326,Shannon Adams,0.93,1898.64,Warehouse manager
301,83-200,Lindsay Gaines,0.917,668.64,Senior tax professional/tax inspector
302,05-272,Christina Riggs,0.916,888.96,"Education officer, community"
303,75-365,Dylan Love,0.998,1540.56,"Engineer, electrical"
304,67-140,Sandra Hall,0.994,1978.08,"Lecturer, further education"
305,32-054,Samantha Terry,0.972,225.12,Data processing manager
306,44-659,Andrea Hamilton,0.993,41.76,Health visitor
307,39-166,Pamela Manning,0.895,1532.4,Commissioning editor
308,73-429,Brenda Lee,0.971,232.8,Chartered certified accountant
309,57-088,Sheila Johnson,0.991,1894.32,Statistician
310,04-248,Nichole Bowers,0.989,757.92,"Engineer, building services"
311,30-371,Colleen Foster,0.913,1683.36,Training and development officer
312,24-244,Diana Hoover,0.827,2382.96,Acupuncturist
313,16-656,Cynthia Tate,0.875,461.28,Biomedical engineer
314,64-841,Brittany Turner,0.959,700.08,Associate Professor
315,58-896,Benjamin Jackson,0.848,701.76,Special educational needs teacher
316,12-904,Rebecca Ramos,0.804,1976.4,Corporate investment banker
317,34-818,Jeanette Taylor,0.876,798.72,Dietitian
318,35-545,Jennifer Lopez,0.863,965.28,Financial trader
319,67-353,Amanda Hayes,0.812,1433.28,Geophysical data processor
320,01-167,Allison Robinson,0.977,1229.76,Public relations officer
321,33-004,Mark Robinson,0.935,1730.16,"Designer, blown glass/stained glass"
322,90-528,Darlene Lopez,0.839,181.92,"Psychologist, clinical"
323,42-415,Heather Shaw,0.954,116.4,Audiological scientist
324,88-780,Parker Skinner,0.889,2197.92,Ceramics designer
325,97-048,Peggy Lopez,0.829,333.6,Learning mentor
326,62-560,Robin Scott,0.929,2013.36,"Scientist, water quality"
327,26-283,Angela Carr,0.991,542.16,Education administrator
328,17-123,Kimberly Porter,0.855,732.48,Medical physicist
329,21-569,Kim Phillips,0.95,2180.64,Outdoor activities/education manager
330,52-637,Amanda Jacobson,0.873,856.56,Television production assistant
331,43-419,Sara King,0.943,1355.28,Catering manager
332,94-607,Denise Farmer,0.929,455.52,TEFL teacher
333,07-542,Amanda Barrera,0.918,1296.96,Adult nurse
334,13-537,Courtney Figueroa,0.952,444.96,Contractor
335,18-557,Lisa Ray,0.929,217.68,Retail manager
336,30-944,Anna Crawford,1.0,625.92,Environmental manager
337,43-419,Ashley Mullen,0.985,182.16,Surgeon
338,21-569,Robert Richard,0.954,222.48,Clinical psychologist
339,09-041,Megan Peters,0.803,1428.24,"Scientist, biomedical"
340,70-990,Faith Blake,0.995,2007.6,Speech and language therapist
341,66-833,Brian Mosley,0.813,2342.16,Make
342,92-237,Tara Chen,0.853,852.72,Soil scientist
343,09-475,Laurie Mcdonald,0.931,270.0,Television production assistant
344,21-688,Penny Myers,0.866,1195.44,"Geologist, engineering"
345,74-520,Monique Woods,0.98,255.6,Maintenance engineer
346,58-308,Cheryl Lewis,0.996,2094.48,Corporate investment banker
347,12-637,Brittany Whitehead,0.843,591.12,"Production designer, theatre/television/film"
348,84-070,Erin Moore,0.951,92.16,General practice doctor
349,35-545,Courtney Johnson,0.967,1346.88,Adult nurse
350,45-726,Ryan Martin,0.827,1488.48,"Nurse, learning disability"
351,62-983,Jennifer Wilson,0.856,2073.36,Chemical engineer
352,75-843,Janet Martin,0.912,1887.84,Financial controller
353,49-035,Daniel Lowery,0.94,2181.84,Chemical engineer
354,06-191,Chelsea Wade,0.912,2062.08,Neurosurgeon
355,73-770,Tamara Oconnor,0.877,1917.84,Cabin crew
356,85-550,Judy Johnson,0.893,1800.72,"Surveyor, mining"
357,99-440,Shirley Underwood,0.832,2029.68,"Engineer, chemical"
358,84-070,Chad Carter,0.888,1709.28,Magazine journalist
359,79-599,Mary Villa,0.834,720.0,"Optician, dispensing"
360,53-145,Gerald Mills,0.835,1588.56,Financial adviser
361,62-983,Michael Martinez,0.895,346.32,Immunologist
362,59-100,Kelly Cooper,0.919,1928.64,Equities trader
363,32-054,Nathaniel Johnson,0.878,1752.0,Diagnostic radiographer
364,15-108,Sara Hamilton,0.991,1904.64,"Exhibitions officer, museum/gallery"
365,57-857,Jennifer Murphy,0.967,1958.88,Dance movement psychotherapist
366,81-117,Nicole Thompson,0.933,2.88,Youth worker
367,51-604,Tammy Martin,0.907,975.36,"Scientist, research (life sciences)"
368,24-244,Marisa Taylor,0.863,545.04,Marketing executive
369,10-628,Melinda Walker,0.903,1171.92,Travel agency manager
370,75-268,Mario Suarez,0.982,1018.56,Production manager
371,94-588,Jessica Murray,0.992,628.08,Animal technologist
372,89-641,Ricky Ferguson,0.822,2387.76,Photographer
373,42-415,Debra Sanders,0.973,1691.76,Child psychotherapist
374,62-560,Sandra Butler,0.914,1127.28,Clinical molecular geneticist
375,96-198,Gail Stone,0.862,1592.88,Veterinary surgeon
376,70-869,Ariana Lopez,0.813,750.0,Exercise physiologist
377,43-419,Barbara Parker,0.808,1922.64,Contractor
378,93-791,Jennifer Mcdonald,0.866,1019.28,Interpreter
379,41-194,Lauren Murray,0.801,1649.04,Surgeon
380,30-944,Ashley Gibbs,0.816,1225.2,Psychiatrist
381,97-048,Erin Chase,0.811,800.4,Educational psychologist
382,06-642,Tracy Schwartz,0.836,11.04,Make
383,58-451,Kayla Moore,0.904,2147.04,"Designer, multimedia"
384,23-267,Cynthia Walker,0.954,1314.0,Interior and spatial designer
385,09-876,Lauren Francis,0.923,1829.28,"Programmer, applications"
386,95-590,Barbara Young,0.885,1565.28,Customer service manager
387,11-185,Michael Rogers,0.847,1316.64,Contracting civil engineer
388,17-123,Nicole Williams,0.977,1616.64,"Psychologist, educational"
389,74-142,Christian Hall,0.828,1068.24,Lobbyist
390,34-169,Stacey King,0.861,1414.32,Public house manager
391,78-571,Michael Alvarez,0.888,125.04,Civil Service fast streamer
392,44-831,Jennifer Dyer,0.814,1869.84,Personnel officer
393,21-884,Cynthia Stewart,0.926,379.2,Waste management officer
394,94-607,John Wilson,0.839,1051.2,Estate agent
395,85-787,Brad Diaz,0.947,524.64,Music tutor
396,99-440,Kayla Holland,0.825,1728.24,"Buyer, retail"
397,50-436,Micheal Newman,0.846,163.92,Set designer
398,39-166,Bridget Jackson,0.94,1524.24,Retail manager
399,05-123,Sara Glover,0.909,2055.36,Cytogeneticist
400,98-639,Monica Pena,0.854,1717.2,Magazine journalist
401,40-453,Jennifer Taylor,0.991,1797.84,Civil Service administrator
402,78-149,Michael Thompson,0.975,2021.04,Product/process development scientist
403,31-096,Elizabeth Eaton,0.919,375.36,Patent attorney
404,59-370,Jennifer Hinton,0.811,1378.08,Public relations account executive
405,50-091,Kenneth Reynolds,0.933,1079.04,Systems developer
406,51-936,Desiree Miller,0.872,286.32,Insurance claims handler
407,47-598,John Serrano,0.862,2178.72,Publishing rights manager
408,79-599,Amy Miller,0.872,1747.92,Community education officer
409,95-590,Pamela Morris,0.985,800.4,Special effects artist
410,17-123,Chris Orozco,0.992,68.88,"Education officer, community"
411,75-268,James Morris,0.801,1164.0,Professor Emeritus
412,33-004,Misty Scott,0.974,2387.04,Warden/ranger
413,75-843,Jennifer Greene,0.971,2159.52,"Clinical scientist, histocompatibility and immunogenetics"
414,50-328,Jennifer White,0.987,1508.4,Fine artist
415,83-200,Alicia Dean,0.852,2137.68,"Designer, jewellery"
416,49-510,Kelli Turner,0.854,2342.64,"Therapist, music"
417,58-240,Jennifer Mccall,0.98,1968.24,Exhibition designer
418,16-030,Jennifer Cook,0.897,575.52,English as a foreign language teacher
419,21-884,Krystal Pope,0.977,1745.04,"Geologist, engineering"
420,14-734,Susan Acosta,0.822,1956.72,Technical brewer
421,54-940,Patricia Waller,0.881,349.44,Solicitor
422,49-035,William Hudson,0.962,1638.0,"Engineer, maintenance"
423,47-016,Penny Phillips,0.904,1794.24,Dietitian
424,37-889,Rhonda Gomez,0.933,2315.28,Corporate investment banker
425,05-980,John Campbell,0.97,2088.72,Civil Service administrator
426,38-133,Peter Miller,0.937,2046.72,"Psychologist, educational"
427,40-727,Teresa Young,0.97,931.68,"Clinical scientist, histocompatibility and immunogenetics"
428,94-842,Victoria Gutierrez,0.871,473.04,Actuary
429,38-133,Kelly Wilson,0.857,1776.72,Further education lecturer
430,03-193,Hannah Cooper,0.901,2383.68,Structural engineer
431,19-490,Amanda Smith,0.953,8.64,Chartered legal executive (England and Wales)
432,45-726,Maria Hansen,0.992,1100.88,Veterinary surgeon
433,57-493,Jeff Hood,0.88,993.36,Pension scheme manager
434,56-440,Eric Mcbride,0.933,2003.28,Industrial buyer
435,28-902,Rachel Mcdonald,0.924,554.64,Paediatric nurse
